YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 08 31 23 50 353  1.3  1.9  0.96  7.69  6.24 286 1013.4  16.2  17.1 999.0 99.0 99.00
2013 09 01 00 50 104  1.6  2.1  1.08  7.14  6.74 275 1013.2  16.0  17.3 999.0 99.0 99.00
2013 09 01 01 50 143  1.7  2.1  1.06 14.81  6.52 219 1013.0  15.8  17.2 999.0 99.0 99.00
2013 09 01 02 50 133  1.4  2.7  0.95 13.79  6.21 224 1012.7  15.7  17.1 999.0 99.0 99.00
2013 09 01 03 50 149  2.8  3.7  0.91 13.79  6.27 211 1012.9  15.5  17.0 999.0 99.0 99.00
2013 09 01 04 50 168  3.5  4.2  0.89 13.79  6.24 224 1013.5  15.5  17.0 999.0 99.0 99.00
2013 09 01 05 50 220  3.5  4.1  0.95 14.81  6.67 157 1013.4  16.1  17.0 999.0 99.0 99.00
2013 09 01 06 50 192  3.1  3.7  0.95 13.79  6.95 121 1013.3  16.3  17.0 999.0 99.0 99.00
2013 09 01 07 50 160  5.2  6.0  0.95 10.00  6.75 287 1013.2  16.0  17.0 999.0 99.0 99.00
2013 09 01 08 50 172  6.2  7.3  0.96 10.81  6.25 286 1013.0  15.8  16.9 999.0 99.0 99.00
2013 09 01 09 50 182  6.4  7.4  1.11 10.00  6.24 273 1012.9  15.6  16.8 999.0 99.0 99.00
2013 09 01 10 50 182  5.7  7.2  1.21 10.00  6.54 286 1012.9  15.3  16.8 999.0 99.0 99.00
2013 09 01 11 50 186  4.8  6.3  1.11  9.09  6.08 277 1013.0  14.2  16.7 999.0 99.0 99.00
2013 09 01 12 50 162  5.6  7.2  1.29 10.00  6.62 292 1012.7  13.8  16.6 999.0 99.0 99.00
2013 09 01 13 50 150  5.8  7.2  1.13 10.00  6.21 280 1012.3  13.6  16.6 999.0 99.0 99.00
2013 09 01 14 50 150  6.5  7.9  1.10 10.00  5.63 262 1012.1  13.0  16.6 999.0 99.0 99.00
2013 09 01 15 50 143  5.5  7.1  1.15 10.00  6.13 279 1012.1  13.6  16.6 999.0 99.0 99.00
2013 09 01 16 50 151  3.7  4.5  1.09 12.90  6.01 272 1012.3  14.1  16.7 999.0 99.0 99.00
2013 09 01 17 50 159  3.5  4.3  1.13  9.09  6.39 282 1012.2  14.9  16.9 999.0 99.0 99.00
2013 09 01 18 50 145  3.5  4.2  1.16 12.12  6.61 283 1011.7  15.7  17.0 999.0 99.0 99.00
2013 09 01 19 50 163  3.6  4.2  1.25 12.12  6.82 296 1011.8  16.6  17.2 999.0 99.0 99.00
2013 09 01 20 50 181  5.6  6.8  1.18 10.81  6.57 290 1011.8  17.7  17.3 999.0 99.0 99.00
2013 09 01 21 50 191  4.9  6.0  1.22 11.43  6.22 277 1011.6  17.4  17.1 999.0 99.0 99.00
2013 09 01 22 50 177  4.9  6.0  1.36 12.12  6.26 273 1011.0  17.3  17.1 999.0 99.0 99.00
2013 09 01 23 50 181  5.1  5.9  1.39 12.12  6.25 302 1010.7  17.3  17.2 999.0 99.0 99.00
2013 09 02 00 50 165  5.3  6.3  1.44 12.90  5.96 254 1010.4  17.0  17.2 999.0 99.0 99.00
2013 09 02 01 50 160  6.2  7.4  1.57 11.43  6.47 287 1010.4  17.0  17.3 999.0 99.0 99.00
2013 09 02 02 50 168  6.5  7.8  1.52 12.12  6.40 294 1010.4  17.1  17.5 999.0 99.0 99.00
2013 09 02 03 50 269  1.4  2.6  1.54  6.25  5.98 232 1010.8  16.7  17.5 999.0 99.0 99.00
2013 09 02 04 50 145  4.5  6.0  1.48  6.67  5.99 233 1011.2  16.7  17.5 999.0 99.0 99.00
2013 09 02 05 50 166  7.7  9.5  1.55 11.43  5.98 292 1011.2  16.5  17.6 999.0 99.0 99.00
2013 09 02 06 50 175  6.3  7.6  1.53 11.43  5.77 290 1011.5  16.5  17.6 999.0 99.0 99.00
2013 09 02 07 50 180  5.9  6.9  1.67 11.43  5.90 292 1011.2  16.6  17.5 999.0 99.0 99.00
2013 09 02 08 50 164  5.8  7.0  1.66 10.81  6.02 291 1011.2  16.4  17.5 999.0 99.0 99.00
2013 09 02 09 50 178  7.4  9.1  1.49 10.81  5.85 295 1011.2  16.5  17.5 999.0 99.0 99.00
2013 09 02 10 50 179  6.6  7.7  1.47 10.81  5.69 291 1011.4  16.7  17.6 999.0 99.0 99.00
2013 09 02 11 50 181  7.0  8.2  1.49 10.81  5.53 311 1011.2  16.4  17.6 999.0 99.0 99.00
2013 09 02 12 50 181  7.0  8.1  1.49 11.43  5.73 292 1011.2  16.1  17.7 999.0 99.0 99.00
2013 09 02 13 50 188  6.1  7.4  1.42 10.81  5.50 304 1011.4  16.1  17.7 999.0 99.0 99.00
2013 09 02 14 50 191  6.3  7.7  1.54 10.00  6.00 297 1011.9  15.8  17.9 999.0 99.0 99.00
2013 09 02 15 50 183  7.1  8.6  1.40 10.81  5.67 288 1012.0  15.8  17.9 999.0 99.0 99.00
2013 09 02 16 50 182  7.4  8.8  1.53 10.81  5.76 282 1012.3  16.1  17.9 999.0 99.0 99.00
2013 09 02 17 50 172  8.0  9.8  1.50  5.88  5.39 222 1012.3  15.9  17.8 999.0 99.0 99.00
2013 09 02 18 50 179  8.3 10.3  1.53 10.81  5.26 301 1012.7  15.9  17.8 999.0 99.0 99.00
2013 09 02 19 50 179  8.0  9.4  1.49 10.00  5.17 303 1012.7  16.1  17.8 999.0 99.0 99.00
2013 09 02 20 50 182  8.6 10.3  1.53  6.25  5.22 218 1012.9  16.1  17.9 999.0 99.0 99.00
2013 09 02 21 50 188  7.7  9.1  1.64 10.81  5.29 264 1012.9  16.3  17.9 999.0 99.0 99.00
2013 09 02 22 50 203  7.4  8.3  1.65  9.09  5.72 258 1012.7  16.4  18.0 999.0 99.0 99.00
2013 09 02 23 50 191  6.7  7.9  1.95  9.09  6.07 255 1012.8  16.8  18.0 999.0 99.0 99.00
2013 09 03 00 50 185  5.7  7.3  1.69  6.67  5.81 232 1012.7  17.3  17.9 999.0 99.0 99.00
2013 09 03 01 50 163  5.8  7.1  1.71  9.09  5.83 246 1012.5  16.4  17.8 999.0 99.0 99.00
2013 09 03 02 50 172  6.9  8.2  1.71  8.33  5.76 256 1012.3  16.3  17.8 999.0 99.0 99.00
2013 09 03 03 50 183  6.9  8.3  1.67 10.00  5.85 272 1012.7  16.2  17.8 999.0 99.0 99.00
2013 09 03 04 50 170  7.5  9.0  1.65  7.14  5.53 250 1013.0  16.2  17.8 999.0 99.0 99.00
2013 09 03 05 50 185  6.9  8.0  1.70  9.09  5.61 276 1013.3  15.9  17.8 999.0 99.0 99.00
2013 09 03 06 50 184  7.3  8.6  1.66  9.09  5.54 270 1013.4  15.7  17.8 999.0 99.0 99.00
2013 09 03 07 50 191  6.8  8.6  1.55  6.67  5.53 232 1013.4  15.7  17.8 999.0 99.0 99.00
2013 09 03 08 50 188  6.9  8.3  1.65  6.67  5.57 237 1013.5  16.2  17.9 999.0 99.0 99.00
2013 09 03 09 50 183  6.2  7.5  1.61  7.69  5.59 234 1013.4  16.6  17.9 999.0 99.0 99.00
2013 09 03 10 50 156  5.4  6.5  1.55  6.67  5.82 235 1013.3  16.6  17.9 999.0 99.0 99.00
2013 09 03 11 50 155  6.5  7.5  1.38  6.67  5.51 238 1013.4  16.5  18.0 999.0 99.0 99.00
2013 09 03 12 50 157  6.6  8.3  1.37  9.09  5.57 266 1013.5  16.6  18.0 999.0 99.0 99.00
2013 09 03 13 50 172  7.1  8.2  1.48  7.14  5.61 236 1013.8  16.4  18.0 999.0 99.0 99.00
2013 09 03 14 50 165  7.3  8.6  1.69  8.33  5.69 259 1014.2  16.7  18.0 999.0 99.0 99.00
2013 09 03 15 50 167  6.9  8.1  1.58  8.33  5.59 252 1014.5  16.7  17.9 999.0 99.0 99.00
2013 09 03 16 50 169  7.0  8.3  1.43  8.33  5.38 270 1014.8  17.1  17.9 999.0 99.0 99.00
2013 09 03 17 50 167  7.0  8.3  1.47  8.33  5.56 258 1014.9  17.3  17.9 999.0 99.0 99.00
2013 09 03 18 50 182  7.7  9.5  1.50  6.25  5.13 229 1015.3  17.2  18.0 999.0 99.0 99.00
2013 09 03 19 50 184  7.3  9.0  1.47  6.25  5.06 230 1015.6  16.9  18.0 999.0 99.0 99.00
2013 09 03 20 50 187  7.3  8.5  1.31  5.88  4.83 237 1015.8  16.9  18.0 999.0 99.0 99.00
2013 09 03 21 50 193  7.0  8.2  1.36  5.56  5.05 226 1015.9  17.1  18.0 999.0 99.0 99.00
2013 09 03 22 50 195  6.7  8.3  1.21  7.69  4.75 241 1015.8  17.2  18.1 999.0 99.0 99.00
2013 09 03 23 50 197  5.4  6.4  1.17  5.88  4.87 237 1015.9  17.4  18.2 999.0 99.0 99.00
2013 09 04 00 50 204  5.7  7.0  1.26  6.25  5.14 218 1015.8  17.1  18.2 999.0 99.0 99.00
2013 09 04 01 50 181  4.6  5.8  1.15  5.88  5.28 232 1015.5  16.9  18.2 999.0 99.0 99.00
2013 09 04 02 50 174  3.8  4.6  1.18  6.25  5.28 226 1015.5  16.7  18.3 999.0 99.0 99.00
2013 09 04 03 50 163  4.9  5.6  1.10  5.56  5.44 221 1015.9  16.7  18.3 999.0 99.0 99.00
2013 09 04 04 50 163  4.7  5.4  1.13  7.69  5.50 250 1016.2  16.6  18.3 999.0 99.0 99.00
2013 09 04 05 50 171  4.4  5.4  1.19  5.56  5.43 223 1016.4  16.8  18.3 999.0 99.0 99.00
2013 09 04 06 50 167  3.8  4.7  1.11  5.56  5.20 219 1016.3  16.9  18.2 999.0 99.0 99.00
2013 09 04 07 50 155  3.4  4.3  1.07  5.56  5.29 211 1016.3  16.7  18.2 999.0 99.0 99.00
2013 09 04 08 50 169  4.5  5.3  1.08  5.56  5.36 215 1016.3  16.8  18.1 999.0 99.0 99.00
2013 09 04 09 50 151  4.3  5.3  1.03  5.26  5.32 218 1016.2  16.6  18.0 999.0 99.0 99.00
2013 09 04 10 50 156  3.6  4.4  1.02  5.88  5.39 229 1016.1  16.5  18.0 999.0 99.0 99.00
2013 09 04 11 50 161  3.3  3.8  1.08  7.14  5.81 260 1016.0  16.4  18.0 999.0 99.0 99.00
2013 09 04 12 50 156  3.8  4.7  1.08  7.69  5.76 266 1016.2  16.3  18.0 999.0 99.0 99.00
2013 09 04 13 50 176  2.9  3.6  1.03  7.69  5.77 264 1016.5  16.0  18.0 999.0 99.0 99.00
2013 09 04 14 50 152  4.5  5.9  0.98  6.67  5.52 261 1016.6  16.3  18.1 999.0 99.0 99.00
2013 09 04 15 50 203  4.9  5.8  1.03  7.14  5.89 267 1017.2  16.0  18.1 999.0 99.0 99.00
2013 09 04 16 50 204  3.7  5.0  0.91  7.69  5.48 260 1017.3  16.5  18.1 999.0 99.0 99.00
2013 09 04 17 50 213  4.1  5.0  0.97  6.67  5.59 249 1017.4  16.7  18.2 999.0 99.0 99.00
2013 09 04 18 50 187  3.3  4.2  0.92  6.25  5.37 248 1017.8  16.9  18.3 999.0 99.0 99.00
2013 09 04 19 50 169  3.2  3.8  0.90 12.90  5.46 278 1017.9  17.1  18.3 999.0 99.0 99.00
2013 09 04 20 50 179  3.3  3.9  0.88 12.90  5.74 179 1018.0  17.3  18.3 999.0 99.0 99.00
2013 09 04 21 50 179  2.9  3.4  0.79  7.14  5.41 267 1018.2  17.4  18.2 999.0 99.0 99.00
2013 09 04 22 50 189  3.0  3.5  0.76 12.12  5.45 194 1018.0  17.6  18.3 999.0 99.0 99.00
2013 09 04 23 50 204  2.9  3.7  0.78 12.12  5.73 153 1017.7  17.8  18.4 999.0 99.0 99.00
2013 09 05 00 50 208  1.9  2.3  0.79 12.90  5.87   2 1017.4  17.9  18.7 999.0 99.0 99.00
2013 09 05 01 50 245  1.1  1.5  0.85 12.90  6.02 220 1017.1  17.8  18.7 999.0 99.0 99.00
2013 09 05 02 50 293  1.1  1.5  0.77  7.14  5.56 256 1017.1  17.6  18.6 999.0 99.0 99.00
2013 09 05 03 50  86  2.3  2.7  0.86  7.14  5.69 254 1017.4  17.3  18.4 999.0 99.0 99.00
2013 09 05 04 50  96  1.9  3.3  0.80  7.14  5.62 269 1017.8  17.3  18.1 999.0 99.0 99.00
2013 09 05 05 50 132  1.7  2.1  0.81  6.67  5.74 248 1017.9  17.1  17.9 999.0 99.0 99.00
2013 09 05 06 50 116  1.2  1.9  0.76 12.12  5.87 241 1017.4  17.0  17.8 999.0 99.0 99.00
2013 09 05 07 50 350  1.6  2.1  0.78 12.90  5.96 136 1017.3  16.9  17.8 999.0 99.0 99.00
2013 09 05 08 50 180  0.0  0.3  0.85 12.90  6.01 218 1017.2  16.5  17.7 999.0 99.0 99.00
2013 09 05 09 50 322  1.7  2.2  0.79 12.90  5.99 146 1016.9  16.9  17.7 999.0 99.0 99.00
2013 09 05 10 50 358  2.4  2.9  0.76 12.90  6.17 212 1016.7  17.1  17.9 999.0 99.0 99.00
2013 09 05 11 50  27  2.3  3.1  0.69 12.12  6.23 222 1016.7  17.0  17.8 999.0 99.0 99.00
2013 09 05 12 50  21  2.6  3.1  0.74 12.12  6.40 229 1017.0  16.8  17.8 999.0 99.0 99.00
2013 09 05 13 50   4  4.1  4.8  0.66 12.12  6.36 225 1017.1  16.9  17.7 999.0 99.0 99.00
2013 09 05 14 50  17  3.6  4.4  0.73 12.90  6.81 201 1017.4  17.0  17.7 999.0 99.0 99.00
