This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"049742","WINTERS",-121.9683,38.5228,41,"COOP","049742"
"101017","BOISE 7 N",-116.2022,43.7383,1184,"COOP","101017"
"102845","DWORSHAK FIS",-116.3217,46.5022,303,"COOP","102845"
"244558","KALISPELL GL",-114.2636,48.3042,901,"COOP","244558"
"247128","ROBERTS 1 N",-109.1697,45.3753,1423,"COOP","247128"
"351862","CORVALLIS ST",-123.1894,44.6333,69,"COOP","351862"
"352325","DILLEY 1 S",-123.1242,45.4833,50,"COOP","352325"
"427064","PROVO BYU",-111.6508,40.2458,1393,"COOP","427064"
"06K04S","INDEPENDENCE",-106.6117,39.0753,3231,"SNOTEL","06K04S"
"06K24S","COPPER MOUNT",-106.1708,39.4894,3216,"SNOTEL","06K24S"
"07E06S","POWDER RIVER",-107.1333,44.1667,2890,"SNOTEL","07E06S"
"07E12S","SUCKER CREEK",-107.4000,44.7167,2707,"SNOTEL","07E12S"
"09F23S","ELKHART PARK",-109.7589,43.0067,2865,"SNOTEL","09F23S"
"10J44S","HAYDEN FORK",-110.8847,40.7967,2774,"SNOTEL","10J44S"
"11H21S","HORSE RIDGE",-111.4458,41.3136,2487,"SNOTEL","11H21S"
"11J53S","SMITH & MORE",-111.1178,40.7900,2316,"SNOTEL","11J53S"
"11K15S","DILL'S CAMP",-111.4683,39.0458,2804,"SNOTEL","11K15S"
"13B22S","KRAFT CREEK",-113.7753,47.4275,1448,"SNOTEL","13B22S"
"16H02S","JACK CREEK U",-116.0089,41.5469,2210,"SNOTEL","16H02S"
"23129","LONG BEACH D",-118.1464,33.8117,9,"WBAN","23129"
"23174","LOS ANGELES",-118.3889,33.9381,30,"WBAN","23174"
"23188","SAN DIEGO LI",-117.1831,32.7336,5,"WBAN","23188"
"23237","STOCKTON MET",-121.2258,37.8892,8,"WBAN","23237"
"23272","SAN FRANCISC",-122.4333,37.7694,53,"WBAN","23272"
"23273","SANTA MARIA",-120.4486,34.8994,74,"WBAN","23273"
"24029","SHERIDAN COU",-106.9689,44.7694,1202,"WBAN","24029"
"24062","WORLAND MUNI",-107.9508,43.9658,1272,"WBAN","24062"
"24127","SALT LAKE CI",-111.9694,40.7781,1288,"WBAN","24127"
"24128","WINNEMUCCA M",-117.8072,40.9019,1309,"WBAN","24128"
"24143","GREAT FALLS",-111.3822,47.4733,1117,"WBAN","24143"
"24144","HELENA REGIO",-111.9636,46.6056,1167,"WBAN","24144"
"24153","MISSOULA INT",-114.0925,46.9208,973,"WBAN","24153"
"24155","PENDLETON E",-118.8547,45.6983,453,"WBAN","24155"
"24156","POCATELLO RE",-112.5711,42.9203,1353,"WBAN","24156"
"24157","SPOKANE INTE",-117.5278,47.6214,717,"WBAN","24157"
"24221","EUGENE MAHLO",-123.2206,44.1278,108,"WBAN","24221"
"24227","OLYMPIA AIRP",-122.9033,46.9733,63,"WBAN","24227"
"24232","SALEM MCNARY",-123.0011,44.9050,62,"WBAN","24232"
"24243","YAKIMA AIR T",-120.5428,46.5683,324,"WBAN","24243"
"93209","PASO ROBLES",-120.6283,35.6697,247,"WBAN","93209"
"043578","GRATON",-122.8650,38.4306,61,"COOP","043578"
"94224","ASTORIA REGI",-123.8819,46.1567,3,"WBAN","94224"
