AQC00914000        1166P
AQW00061705         708C
CQC00914080         478P
CQC00914801         507P
CQC00914855         383P
CQC00914874         429P
FMC00914213         712P
FMC00914325         813P
FMC00914395        1185P
FMC00914419         861P
FMC00914429         796P
FMC00914446         706P
FMC00914482         999P
FMC00914585         718P
FMC00914590         979P
FMC00914705        1440P
FMC00914720        1013P
FMC00914761         641P
FMC00914808         738P
FMC00914831         707P
FMC00914892         614P
FMC00914898        1141P
FMC00914911         760P
FMW00040308         725C
FMW00040504        1130C
FMW00040505         822C
GQC00914001         582P
GQC00914025         525P
GQC00914156         584P
GQC00914468         533P
GQC00914950         423P
GQW00041415         555S
JQW00021603         110P
MQW00022701         233P
PSC00914519         966P
PSW00040309         908C
RMC00913915         732P
RMC00914304         850P
RMC00914487         771P
RMC00914903         395P
RMW00040604         576S
RMW00040710         771C
RQC00660040         460S
RQC00660053         457P
RQC00660061         479S
RQC00660152         223S
RQC00660158         311P
RQC00660426         541S
RQC00660668         392P
RQC00660948         209P
RQC00661142         486S
RQC00661309         377P
RQC00661345         372S
RQC00661590         428S
RQC00661901         285P
RQC00662316         177P
RQC00662330         468P
RQC00662336         614P
RQC00662634         341P
RQC00662723         245P
RQC00662801         508S
RQC00662934         425P
RQC00663023         356S
RQC00663409         400P
RQC00663431         484S
RQC00663532         199S
RQC00663657         343P
RQC00663904         487S
RQC00664126         284P
RQC00664193         288P
RQC00664276         351C
RQC00664340         311P
RQC00664702         406S
RQC00664867         406S
RQC00664910         434P
RQC00665020         223P
RQC00665064         377S
RQC00665097         285S
RQC00665123         445P
RQC00665807         384S
RQC00666050         387P
RQC00666073         397P
RQC00666083         567S
RQC00666258         224P
RQC00666270         378P
RQC00666361         387S
RQC00666390         449S
RQC00666514         470S
RQC00666805         552S
RQC00666900         303P
RQC00666983         328P
RQC00666992        1099P
RQC00667292         210S
RQC00667295         156P
RQC00668144         591P
RQC00668306         422P
RQC00668815         486S
RQC00668940         192S
RQC00669421         418P
RQC00669432         530P
RQC00669521         427S
RQC00669608         430P
RQC00669774         349S
RQC00669860         288S
RQW00011603         345P
RQW00011630         269P
RQW00011641         326C
USC00010008         374S
USC00010063         405P
USC00010140         347S
USC00010160         395S
USC00010178         386P
USC00010184         356S
USC00010252         375S
USC00010369         378S
USC00010390         397P
USC00010402         388S
USC00010425         354P
USC00010430         344P
USC00010440         359P
USC00010505         403S
USC00010583         414S
USC00010655         366S
USC00010764         394C
USC00010957         380P
USC00011080         432S
USC00011084         413S
USC00011099         426S
USC00011178         358P
USC00011288         377P
USC00011301         359P
USC00011377         392P
USC00011620         366S
USC00011690         345P
USC00011694         380P
USC00011810         352S
USC00012096         407P
USC00012172         360S
USC00012245         373S
USC00012577         370P
USC00012675         339S
USC00012730         333S
USC00012758         396S
USC00012813         397C
USC00012840         354P
USC00012883         386P
USC00013043         367P
USC00013154         384S
USC00013160         344S
USC00013251         376C
USC00013271         368P
USC00013430         379P
USC00013511         366S
USC00013519         367S
USC00013573         368S
USC00013575         356P
USC00013620         430S
USC00013645         398S
USC00013655         391P
USC00013761         342S
USC00013775         376S
USC00013781         369P
USC00013816         359S
USC00013930         356S
USC00014080         345P
USC00014193         383P
USC00014209         352P
USC00014226         420P
USC00014274         355S
USC00014306         298P
USC00014431         375P
