AQC00914000         683P
AQW00061705         361C
CQC00914080         204P
CQC00914801         241P
CQC00914855         181P
CQC00914874         192P
FMC00914213         358P
FMC00914325         431P
FMC00914395         664P
FMC00914419         476P
FMC00914429         361P
FMC00914446         345P
FMC00914482         549P
FMC00914585         342P
FMC00914590         563P
FMC00914705         807P
FMC00914720         523P
FMC00914761         356P
FMC00914808         334P
FMC00914831         355P
FMC00914892         293P
FMC00914898         619P
FMC00914911         378P
FMW00040308         347C
FMW00040504         578C
FMW00040505         406C
GQC00914001         300P
GQC00914025         239P
GQC00914156         249P
GQC00914468         247P
GQC00914950         220P
GQW00041415         239S
JQW00021603          42P
MQW00022701          83P
PSC00914519         480P
PSW00040309         474C
RMC00913915         365P
RMC00914304         458P
RMC00914487         383P
RMC00914903         188P
RMW00040604         263S
RMW00040710         389C
RQC00660040         247S
RQC00660053         237P
RQC00660061         229S
RQC00660152         106S
RQC00660158         142P
RQC00660426         270S
RQC00660668         152P
RQC00660948          96P
RQC00661142         249S
RQC00661309         172P
RQC00661345         160S
RQC00661590         165S
RQC00661901         124P
RQC00662316          80P
RQC00662330         231P
RQC00662336         333P
RQC00662634         133P
RQC00662723         126P
RQC00662801         230S
RQC00662934         200P
RQC00663023         178S
RQC00663409         149P
RQC00663431         240S
RQC00663532          85S
RQC00663657         135P
RQC00663904         244S
RQC00664126         142P
RQC00664193         128P
RQC00664276         153C
RQC00664340         139P
RQC00664702         176S
RQC00664867         178S
RQC00664910         198P
RQC00665020         124P
RQC00665064         158S
RQC00665097         136S
RQC00665123         198P
RQC00665807         165S
RQC00666050         160P
RQC00666073         182P
RQC00666083         306S
RQC00666258          88P
RQC00666270         157P
RQC00666361         167S
RQC00666390         217S
RQC00666514         230S
RQC00666805         255S
RQC00666900         131P
RQC00666983         160P
RQC00666992         463P
RQC00667292          95S
RQC00667295          84P
RQC00668144         254P
RQC00668306         181P
RQC00668815         194S
RQC00668940          99S
RQC00669421         170P
RQC00669432         285P
RQC00669521         178S
RQC00669608         207P
RQC00669774         178S
RQC00669860         128S
RQW00011603         159P
RQW00011630         106P
RQW00011641         121C
USC00010008         175S
USC00010063         190P
USC00010140         168S
USC00010160         182S
USC00010178         187P
USC00010184         164S
USC00010252         185S
USC00010369         186S
USC00010390         166P
USC00010402         201S
USC00010425         169P
USC00010430         156P
USC00010440         175P
USC00010505         201S
USC00010583         222S
USC00010655         154S
USC00010764         185C
USC00010957         175P
USC00011080         223S
USC00011084         221S
USC00011099         210S
USC00011178         192P
USC00011288         175P
USC00011301         184P
USC00011377         196P
USC00011620         170S
USC00011690         148P
USC00011694         186P
USC00011810         170S
USC00012096         190P
USC00012172         182S
USC00012245         169S
USC00012577         189P
USC00012675         159S
USC00012730         154S
USC00012758         193S
USC00012813         214C
USC00012840         159P
USC00012883         172P
USC00013043         168P
USC00013154         175S
USC00013160         170S
USC00013251         188C
USC00013271         190P
USC00013430         180P
USC00013511         178S
USC00013519         181S
USC00013573         154S
USC00013575         160P
USC00013620         209S
USC00013645         185S
USC00013655         178P
USC00013761         159S
USC00013775         170S
USC00013781         165P
USC00013816         177S
USC00013930         155S
USC00014080         167P
USC00014193         193P
USC00014209         150P
USC00014226         199P
USC00014274         175S
USC00014306         138P
USC00014431         189P
USC00014502         164S
USC00014603         134P
USC00014619         202S
USC00014798         193S
USC00014866         138P
USC00015112         172P
USC00015121         175C
USC00015420         159S
USC00015439         162S
USC00015465         164P
USC00015537         178P
USC00015635         164S
USC00015658         185S
USC00016000         181P
USC00016121         175P
USC00016129         164P
USC00016246         182S
USC00016334         201P
USC00016436         186S
USC00016478         166S
USC00016847         181S
USC00016988         211S
USC00017020         184P
USC00017025         155P
USC00017131         174S
USC00017157         189S
USC00017207         158S
USC00017304         183P
USC00017366         166S
USC00017947         203P
USC00017999         170S
USC00018024         178S
USC00018038         154S
USC00018178         190S
USC00018209         185S
USC00018323         177S
USC00018380         185S
USC00018385         166S
USC00018438         181S
USC00018469         166C
USC00018517         182P
USC00018605         171P
USC00018648         185P
USC00018653         175P
USC00018673         178S
USC00018755         130P
USC00018809         183S
USC00018859         169S
USC00018867         193P
USC00018998         194S
USC00020060          15P
USC00020080          10S
USC00020100          14S
USC00020159          31S
USC00020174          40P
USC00020287          19S
USC00020288          27P
USC00020380          40P
USC00020498          20S
USC00020586          39P
USC00020632          32S
USC00020670          26P
USC00020672           2P
USC00020678          29P
USC00020683          21P
USC00020750          10S
USC00020775          44P
USC00020808          26S
USC00020949           6S
USC00020958          17S
USC00021001          54P
USC00021026          18P
USC00021050          12S
USC00021231          30S
USC00021248           7S
USC00021282          31S
USC00021306          17P
USC00021314          11S
USC00021330          23S
USC00021353          41S
USC00021514          21P
USC00021574          29P
USC00021614          42P
USC00021664          37S
USC00021849          20S
USC00021920          17S
USC00022109          36S
USC00022140          43S
USC00022434           7P
USC00022659          22P
USC00022754          15S
USC00022790           7P
USC00022807          23P
USC00023009          40P
USC00023027          21P
USC00023150          10S
USC00023160          38P
USC00023190          21S
USC00023393          10S
USC00023448          33C
USC00023505          25P
USC00023596          22S
USC00023668          22P
USC00023683          28S
USC00024053          37P
USC00024089           8S
USC00024182          33S
USC00024391          52P
USC00024453          35S
USC00024590          23P
USC00024675          62S
USC00024702           8S
USC00024761           9P
USC00024829          15S
USC00024849           4P
USC00024977          16P
USC00025129          10P
USC00025270          10S
USC00025412          44S
USC00025418          15S
USC00025467          16S
USC00025512          41S
USC00025635          22S
USC00025665           6P
USC00025700          28P
USC00025780          57P
USC00025908          27P
USC00025924          36S
USC00026037          82S
USC00026119          55S
USC00026132          21S
USC00026180           2S
USC00026190           9S
USC00026250           8S
USC00026282          30S
USC00026328          17P
USC00026353          15P
USC00026468           8S
USC00026471           7S
USC00026513          13P
USC00026597          38P
USC00026601          41S
USC00026616          13S
USC00026653          47S
USC00026716          40S
USC00026796          38S
USC00026840          38S
USC00026865           3P
USC00027036          29S
USC00027281          38S
USC00027334          43S
USC00027370          18P
USC00027390          11S
USC00027435          10S
USC00027462          12P
USC00027480          25P
USC00027488          15S
USC00027530          21S
USC00027560          17P
USC00027593          52P
USC00027619          41S
USC00027622          44P
USC00027708          34S
USC00027716          18S
USC00027855          24S
USC00027880          24S
USC00028012          14S
USC00028018          18P
USC00028112          16P
USC00028162           9C
USC00028214          29S
USC00028329          21S
USC00028348          44P
USC00028349          64P
USC00028396           3S
USC00028468           7S
USC00028499          14S
USC00028516           5P
USC00028598          10S
USC00028619          17S
USC00028641          14P
USC00028650          90S
USC00028792           5P
USC00028795          24S
USC00028796          17S
USC00028800          26P
USC00028815          19S
USC00028817          11S
USC00028865          29P
USC00028904          21S
USC00028998          23P
USC00029114           5S
USC00029156          26S
USC00029158          28S
USC00029166          41S
USC00029271          34P
USC00029287          27S
USC00029309          17S
USC00029334          21S
USC00029359          50S
USC00029376           4P
USC00029410          11P
USC00029542           5S
USC00029562          32S
USC00029634          16C
USC00029645          12S
USC00029652           4P
USC00029656           8P
USC00030006         150C
USC00030064         138S
USC00030130         186S
USC00030150         187S
USC00030220         183S
USC00030234         177S
USC00030240         167S
USC00030286         164S
USC00030300         200S
USC00030326         152S
USC00030458         142S
USC00030460         153S
USC00030586         150P
USC00030616         137S
USC00030664         211S
USC00030746         161S
USC00030764         168S
USC00030798         146C
USC00030806         149S
USC00030814         173P
USC00030832         150C
USC00030936         166S
USC00031102         161S
USC00031132         145S
USC00031140         147P
USC00031152         167S
USC00031310         159P
USC00031442         182P
USC00031455         143P
USC00031457         164P
USC00031459         157P
USC00031492         166S
USC00031508         161P
USC00031596         159P
USC00031632         134S
USC00031666         183S
USC00031730         191S
USC00031750         166S
USC00031829         158S
USC00031834         164S
USC00031900         178C
USC00031948         177S
USC00031962         169C
