year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1969	945	731	131	270	12	42	4	0	12	50	72	308
1970	591	204	297	35	5	30	3	6	2	59	617	499
1971	108	62	196	119	71	3	7	13	43	9	199	476
1972	123	105	3	88	9	15	6	4	10	246	595	208
1973	605	588	452	13	6	2	2	5	34	220	387	473
1974	373	91	448	340	3	37	25	2	1	154	56	248
1975	134	362	406	176	1	17	17	43	2	170	52	37
1976	18	297	152	174	7	17	2	97	42	60	72	208
1977	174	83	175	4	121	8	3	2	65	14	54	585
1978	678	478	524	543	2	8	4	0	29	2	213	159
1979	482	452	441	58	29	2	35	9	2	180	285	318
